model_id,architecture,batch_size,learning_rate,max_epochs,use_initial_bias,use_label_smoothing,use_weighted_loss,epochs_trained,train_loss,train_tp,train_fp,train_tn,train_fn,train_accuracy,train_precision,train_recall,train_auc,train_prc,val_loss,val_tp,val_fp,val_tn,val_fn,val_accuracy,val_precision,val_recall,val_auc,val_prc
33,"[16, 32, 16]",128,1e-07,30,False,False,False,11,1.136633276939392,2701.0,596286.0,1013.0,0.0,0.0061900001019239426,0.00450927997007966,1.0,0.4730755388736725,0.003924235701560974,1.1362947225570679,946.0,198737.0,317.0,0.0,0.0063149998895823956,0.004737508948892355,1.0,0.47437942028045654,0.0041344258934259415
34,"[16, 32, 16]",128,1e-07,50,False,False,False,11,0.8219439387321472,2637.0,585383.0,11916.0,64.0,0.024255000054836273,0.0044845412485301495,0.9763050675392151,0.4095155596733093,0.00348049309104681,0.8218553066253662,925.0,195074.0,3980.0,21.0,0.024524999782443047,0.004719411954283714,0.9778012633323669,0.4138285219669342,0.003684251569211483
35,"[16, 32, 16]",128,1e-07,100,False,False,False,11,0.9016100764274597,2690.0,587841.0,9458.0,11.0,0.02024666592478752,0.004555222112685442,0.9959274530410767,0.39689767360687256,0.003389943391084671,0.9013350009918213,940.0,195930.0,3124.0,6.0,0.020320000126957893,0.0047747245989739895,0.9936575293540955,0.41388291120529175,0.003645776305347681
36,"[16, 32, 16]",512,0.001,30,False,False,False,30,0.006848114542663097,1561.0,462.0,596837.0,1140.0,0.9973300099372864,0.7716262936592102,0.5779340863227844,0.9910500645637512,0.741162896156311,0.007218369282782078,576.0,174.0,198880.0,370.0,0.9972800016403198,0.7680000066757202,0.6088795065879822,0.9892122745513916,0.7416236400604248
37,"[16, 32, 16]",512,0.001,50,False,False,False,21,0.007177945226430893,1378.0,347.0,596952.0,1323.0,0.9972166419029236,0.7988405823707581,0.5101814270019531,0.9912639856338501,0.7303449511528015,0.007582991383969784,513.0,140.0,198914.0,433.0,0.9971349835395813,0.7856048941612244,0.542283296585083,0.9879950881004333,0.7244375348091125
38,"[16, 32, 16]",512,0.001,100,False,False,False,58,0.006644572131335735,1443.0,326.0,596973.0,1258.0,0.9973599910736084,0.8157150745391846,0.534246563911438,0.9919331073760986,0.7591910362243652,0.007054522633552551,548.0,151.0,198903.0,398.0,0.9972550272941589,0.7839770913124084,0.579281210899353,0.9898039102554321,0.752263069152832
39,"[16, 32, 16]",512,1e-05,30,False,False,False,30,0.014516456983983517,0.0,0.0,597299.0,2701.0,0.9954983592033386,0.0,0.0,0.9751425385475159,0.4620967507362366,0.015080400742590427,0.0,0.0,199054.0,946.0,0.9952700138092041,0.0,0.0,0.9757075905799866,0.47663599252700806
40,"[16, 32, 16]",512,1e-05,50,False,False,False,11,1.1124323606491089,2701.0,548780.0,48519.0,0.0,0.08536666631698608,0.004897720646113157,1.0,0.39271533489227295,0.003521859413012862,1.1123234033584595,946.0,182867.0,16187.0,0.0,0.08566500246524811,0.005146534647792578,1.0,0.3932715952396393,0.003704527858644724
41,"[16, 32, 16]",512,1e-05,100,False,False,False,11,0.608505368232727,0.0,33574.0,563725.0,2701.0,0.9395416378974915,0.0,0.0,0.24149896204471588,0.002714897505939007,0.6086299419403076,0.0,11206.0,187848.0,946.0,0.9392399787902832,0.0,0.0,0.23096081614494324,0.0028252380434423685
42,"[16, 32, 16]",512,1e-07,30,False,False,False,11,0.5078026056289673,0.0,13956.0,583343.0,2701.0,0.9722383618354797,0.0,0.0,0.42026448249816895,0.003525432897731662,0.508037805557251,0.0,4714.0,194340.0,946.0,0.9717000126838684,0.0,0.0,0.4281236529350281,0.0037587464321404696
43,"[16, 32, 16]",512,1e-07,50,False,False,False,50,1.158992052078247,2698.0,569529.0,27770.0,3.0,0.05077999830245972,0.00471491226926446,0.9988893270492554,0.3285425305366516,0.0031963950023055077,1.1589784622192383,945.0,189834.0,9220.0,1.0,0.05082499980926514,0.004953375551849604,0.9989429116249084,0.3210257887840271,0.0033293506130576134
44,"[16, 32, 16]",512,1e-07,100,False,False,False,22,0.6684447526931763,2699.0,200702.0,396597.0,2.0,0.6654933094978333,0.013269354589283466,0.9992595314979553,0.9684038162231445,0.08746470510959625,0.6682507991790771,946.0,66832.0,132222.0,0.0,0.6658400297164917,0.013957330957055092,1.0,0.9658865928649902,0.08623959124088287
45,"[16, 32, 16]",2048,0.001,30,False,False,False,30,0.006924610119313002,1586.0,453.0,596846.0,1115.0,0.9973866939544678,0.7778322696685791,0.5871899127960205,0.9907801747322083,0.7467158436775208,0.007333930116146803,589.0,180.0,198874.0,357.0,0.997314989566803,0.7659297585487366,0.6226215362548828,0.9880656003952026,0.7390090823173523
46,"[16, 32, 16]",2048,0.001,50,False,False,False,45,0.007021850440651178,1844.0,757.0,596542.0,857.0,0.9973099827766418,0.708958089351654,0.6827101111412048,0.992266058921814,0.7471818923950195,0.007502904627472162,659.0,294.0,198760.0,287.0,0.997094988822937,0.6915005445480347,0.6966173648834229,0.9922565817832947,0.7446105480194092
47,"[16, 32, 16]",2048,0.001,100,False,False,False,72,0.006742384750396013,1786.0,604.0,596695.0,915.0,0.9974683523178101,0.7472803592681885,0.661236584186554,0.9934946298599243,0.7547837495803833,0.007161823567003012,658.0,253.0,198801.0,288.0,0.9972950220108032,0.7222831845283508,0.6955602765083313,0.9918997287750244,0.75434410572052
48,"[16, 32, 16]",2048,1e-05,30,False,False,False,11,0.40777188539505005,1.0,819.0,596480.0,2700.0,0.9941350221633911,0.0012195121962577105,0.00037023326149210334,0.14647357165813446,0.002534387167543173,0.40789100527763367,0.0,261.0,198793.0,946.0,0.9939650297164917,0.0,0.0,0.14804129302501678,0.002662970218807459
49,"[16, 32, 16]",2048,1e-05,50,False,False,False,14,0.4185561239719391,0.0,33.0,597266.0,2701.0,0.9954433441162109,0.0,0.0,0.30791372060775757,0.0031336951069533825,0.4187040627002716,0.0,15.0,199039.0,946.0,0.9951949715614319,0.0,0.0,0.3030717670917511,0.003278817981481552
